GROUP_KEY,CATEGORY,BRAND,DISPLAY_NAME,IMAGE_COUNT,PRIMARY_IMAGE,CONFIDENCE,NEEDS_REVIEW
C01::Samsung::samsung-galaxy-z-flip-7-fe-medium,Smartphones,Samsung,Samsung Galaxy Z Flip 7 FE medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-Z-Flip-7-FE-medium%20(1).webp?updatedAt=1786489032798,MEDIUM,NO
C01::Samsung::samsung-galaxy-a57-c-medium,Smartphones,Samsung,Samsung Galaxy A57 c medium,12,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/Samsung-Galaxy-A57-c-medium%20(1).webp?updatedAt=1786488896281,MEDIUM,NO
NO-CAT::Xiaomi::redmi14c,,Xiaomi,redmi14c,12,https://ik.imagekit.io/0iaahkrcv/gadgets/redmi14c%20(1).png?updatedAt=1786555410436,LOW,YES
C02::NO-BRAND::tablet,Tablets,,tablet,12,https://ik.imagekit.io/0iaahkrcv/gadgets/tablet%20(1).png?updatedAt=1786555415266,MEDIUM,YES
C01::itel::itel-city-100-medium,Smartphones,itel,Itel City 100 medium,12,https://ik.imagekit.io/0iaahkrcv/itel/Itel-City-100-medium%20(1).webp?updatedAt=1786520844388,HIGH,NO
C01::OPPO::oppo-a6x-4g-a-medium,Smartphones,OPPO,Oppo A6x 4G a medium,12,https://ik.imagekit.io/0iaahkrcv/Oppo/Oppo-A6x-4G-a-medium%20(1).webp?updatedAt=1786555510548,HIGH,NO
C01::Samsung::galaxy-a06c-medium,Smartphones,Samsung,Galaxy A06c medium,10,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Galaxy-A06c-medium%20(1).webp?updatedAt=1786488987018,MEDIUM,NO
C01::Samsung::galaxy-a55-d-medium,Smartphones,Samsung,Galaxy A55 d medium,10,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Galaxy-A55-d-medium%20(1).webp?updatedAt=1786488987068,MEDIUM,NO
C01::Samsung::samsung-galaxy-s25-ultra-c-medium,Smartphones,Samsung,Samsung Galaxy S25 Ultra c medium,10,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(1)/Samsung-Galaxy-S25-Ultra-c-medium%20(1).webp?updatedAt=1786489031647,MEDIUM,NO
C01::Samsung::samsung-galaxy-a16-4g-b-medium,Smartphones,Samsung,Samsung Galaxy A16 4G b medium,10,https://ik.imagekit.io/0iaahkrcv/ecommerce/samsung/All%20Samsung%20Smartphones%20-%20Price%20in%20Kenya%20(3)/Samsung-Galaxy-A16-4G-b-medium%20(1).webp?updatedAt=1786488896085,MEDIUM,NO
C01::OPPO::oppo-a3x-4g-b-medium,Smartphones,OPPO,Oppo A3x 4G b medium,10,https://ik.imagekit.io/0iaahkrcv/Oppo/Oppo-A3x-4G-b-medium%20(1).webp?updatedAt=1786555509968,HIGH,NO
C01::Apple::apple-iphone-15-pro-e-medium,Smartphones,Apple,Apple iPhone 15 Pro e medium,9,https://ik.imagekit.io/0iaahkrcv/ecommerce/All%20iOS%20Smartphones%20-%20Price%20in%20Kenya/Apple-iPhone-15-Pro-e-medium%20(1).webp?updatedAt=1786489223993,MEDIUM,NO
